uid treatment n p time
timings_reducCol_5000_1_10 timings_reducCol 5000 1 0.00196003913879
timings_reducCol_100_4_1 timings_reducCol 100 4 0.156103134155
timings_reducCol_100_4_2 timings_reducCol 100 4 0.0408639907837
timings_reducCol_100_4_3 timings_reducCol 100 4 0.574925899506
timings_reducCol_100_4_4 timings_reducCol 100 4 0.127576828003
timings_reducCol_100_4_5 timings_reducCol 100 4 0.00209522247314
timings_reducCol_100_4_6 timings_reducCol 100 4 0.00100302696228
timings_reducCol_100_4_7 timings_reducCol 100 4 0.0467159748077
timings_reducCol_100_4_8 timings_reducCol 100 4 0.184309959412
timings_reducCol_100_4_9 timings_reducCol 100 4 0.0377631187439
timings_reducCol_100_4_10 timings_reducCol 100 4 0.130535125732
timings_reducCol_10_4_1 timings_reducCol 10 4 0.31504201889
timings_reducCol_10_4_2 timings_reducCol 10 4 0.0350558757782
timings_reducCol_10_4_3 timings_reducCol 10 4 0.0334188938141
timings_reducCol_10_4_4 timings_reducCol 10 4 0.0358240604401
timings_reducCol_10_4_5 timings_reducCol 10 4 2.38945698738
timings_reducCol_10_4_6 timings_reducCol 10 4 0.0491979122162
timings_reducCol_10_4_7 timings_reducCol 10 4 0.0410709381104
timings_reducCol_10_4_8 timings_reducCol 10 4 0.0259540081024
timings_reducCol_10_4_9 timings_reducCol 10 4 0.0486309528351
timings_reducCol_10_4_10 timings_reducCol 10 4 0.193994998932
timings_reducCol_5000_4_1 timings_reducCol 5000 4 0.0324068069458
timings_reducCol_5000_4_2 timings_reducCol 5000 4 0.0400710105896
timings_reducCol_5000_4_3 timings_reducCol 5000 4 0.155862092972
timings_reducCol_5000_4_4 timings_reducCol 5000 4 0.0493109226227
timings_reducCol_5000_4_5 timings_reducCol 5000 4 0.0873689651489
timings_reducCol_5000_4_6 timings_reducCol 5000 4 0.0378949642181
timings_reducCol_5000_4_7 timings_reducCol 5000 4 0.00310206413269
timings_reducCol_5000_4_8 timings_reducCol 5000 4 0.002121925354
timings_reducCol_5000_4_9 timings_reducCol 5000 4 0.0699470043182
timings_reducCol_5000_4_10 timings_reducCol 5000 4 0.0347900390625
timings_reducCol_100_16_1 timings_reducCol 100 16 2.33472394943
timings_reducCol_100_16_2 timings_reducCol 100 16 0.0732679367065
timings_reducCol_100_16_3 timings_reducCol 100 16 0.678179979324
timings_reducCol_100_16_4 timings_reducCol 100 16 0.124285936356
timings_reducCol_100_16_5 timings_reducCol 100 16 0.461463928223
timings_reducCol_100_16_6 timings_reducCol 100 16 0.127159118652
timings_reducCol_100_16_7 timings_reducCol 100 16 0.0578379631042
timings_reducCol_100_16_8 timings_reducCol 100 16 1.41023802757
timings_reducCol_100_16_9 timings_reducCol 100 16 0.271516084671
